Lab	Time
   1 	    39.4560 
   2 	    40.9763 
   3 	    45.1091 
   4 	    47.9804 
   5 	    50.8163 
   6 	    53.7164 
   7 	    56.5175 
   8 	    59.4238 
   9 	    62.1704 
  10 	    65.1761 
  11 	    67.9609 
  12 	    70.8099 
  13 	    73.7001 
  14 	    76.5076 
  15 	    79.3504 
  16 	    82.2120 
  17 	    85.0600 
  18 	    87.9085 
  19 	    90.7858 
  20 	    93.6424 
  21 	    96.5270 
  22 	    99.4259 
  23 	   102.2850 
  24 	   105.0668 
  25 	   107.9294 
  26 	   110.7258 
  27 	   113.6372 
  28 	   116.5235 
  29 	   119.3226 
  30 	   122.2201 
  31 	   125.0613 
  32 	   127.9167 
  33 	   130.7108 
  34 	   133.6633 
