Lab	Time
   1 	     6.1912 
   2 	     9.1278 
   3 	    11.9623 
   4 	    14.6817 
   5 	    17.6765 
   6 	    20.5538 
   7 	    23.3848 
   8 	    26.2660 
   9 	    29.0804 
  10 	    31.8580 
  11 	    34.8324 
  12 	    37.6818 
  13 	    40.5188 
  14 	    43.2851 
  15 	    46.2407 
  16 	    49.0822 
  17 	    51.9635 
  18 	    54.7158 
  19 	    57.6334 
  20 	    60.3954 
  21 	    63.3389 
  22 	    66.1865 
  23 	    69.0458 
  24 	    71.8733 
  25 	    74.7842 
  26 	    77.6236 
  27 	    80.3998 
  28 	    83.3286 
  29 	    86.0801 
  30 	    88.9894 
  31 	    91.9197 
  32 	    94.6931 
