Lab	Time
   1 	     2.8490 
   2 	     5.7042 
   3 	     8.5409 
   4 	    11.3976 
   5 	    14.2817 
   6 	    17.0655 
   7 	    19.9689 
   8 	    22.7722 
   9 	    25.6686 
  10 	    28.4672 
  11 	    31.4614 
  12 	    34.2187 
  13 	    36.9857 
  14 	    39.8058 
  15 	    42.7752 
  16 	    45.6916 
  17 	    48.4905 
  18 	    51.1858 
  19 	    54.1466 
  20 	    57.0277 
  21 	    59.9093 
  22 	    62.6694 
  23 	    65.5545 
  24 	    68.3999 
  25 	    71.3735 
  26 	    74.2788 
  27 	    76.9373 
  28 	    79.7379 
  29 	    82.6865 
  30 	    85.5240 
  31 	    88.3665 
