Lab	Time
   1 	     2.6349 
   2 	     5.4770 
   3 	     8.3595 
   4 	    11.1921 
   5 	    14.0166 
   6 	    16.9184 
   7 	    19.7746 
   8 	    22.6340 
   9 	    25.5286 
  10 	    28.3344 
  11 	    31.2290 
  12 	    34.0774 
  13 	    36.9038 
  14 	    39.7860 
  15 	    42.6496 
  16 	    45.4344 
  17 	    48.3509 
  18 	    51.1803 
  19 	    54.0607 
  20 	    56.8276 
  21 	    59.7207 
  22 	    62.5723 
  23 	    65.4506 
  24 	    68.2719 
  25 	    71.1360 
  26 	    74.0322 
  27 	    76.8709 
  28 	    79.7111 
  29 	    82.5457 
  30 	    85.3580 
  31 	    88.2613 
  32 	    91.1485 
  33 	    93.9654 
  34 	    96.8623 
